707413239630528512,"['elections', 'Clinton', 'Ohio']",UC
591638513692577793,"['NFL draft', 'Winston', 'Buccaneers']",PN
726716560606420993,"['elections', 'Cruz', 'Indiana']",PY
592883033524547584,"['NFL draft', 'Fowler', 'Jets']",PY
568054185427492864,"['Oscars', 'Boyhood ']",UC
723369003012345856,"['NFL draft', 'Doctson', 'Vikings']",PY
62225720516149248,"['NFL draft', 'Smith', 'Rams']",UC
711087890596384768,"['elections', 'Trump', 'Arizona']",PY
727022530217660419,"['elections', 'Trump', 'Indiana']",UC
194196439272923136,"['NFL draft', 'Poe', 'Chiefs']",UC
701528195493801984,"['elections', 'Cruz', 'Texas']",DY
462111276668186625,"['NFL draft', 'Manziel', 'Cowboys']",PY
463350351807414273,"['NFL draft', 'Ford', 'Chiefs']",UC
438791473497407488,"['Oscars', '12 Years a Slave ']",PN
326919525364805632,"['NFL draft', 'Fisher', 'Chiefs']",UC
701691679368056836,"['elections', 'Trump', 'Nevada']",DY
439227034863034368,"['Oscars', 'Matthew McConaughey ']",PY
723300922240061441,"['NFL draft', 'Treadwell', 'Vikings']",UC
194407504254476288,"['NFL draft', 'Coples', 'Cowboys']",UC
693508788918296576,"['elections', 'Cruz', 'Iowa']",DY
461594205249224704,"['NFL draft', 'Clowney', 'Raiders']",UC
703120865475448832,"['Oscars', 'Leonardo DiCaprio ']",UC
195255765345378305,"['NFL draft', 'Griffin', 'Redskins']",UC
709466982677127168,"['elections', 'Trump', 'Florida']",UC
195172420703887362,"['NFL draft', 'Reiff', 'Eagles']",DY
194250271436713984,"['NFL draft', 'Griffin', 'Redskins']",DY
708067782475251713,"['elections', 'Kasich', 'Ohio']",DN
12283862393,"['NFL draft', 'Bradford', 'Rams']",UC
62197773780529152,"['NFL draft', 'Miller', 'Rams']",UC
195108438802571264,"['NFL draft', 'Gilmore', 'Panthers']",PY
738475360145289217,"['elections', 'Clinton', 'California']",UC
737476411531743234,"['elections', 'Clinton', 'California']",UC
724815838226829314,"['NFL draft', 'Goff', 'Rams']",PY
709026069853044736,"['elections', 'Rubio', 'Florida']",UC
707425627754905600,"['elections', 'Sanders', 'Illinois']",PY
593466792246452226,"['NFL draft', 'Williams', 'Jets']",UC
305092394041356288,"['Oscars', 'Argo ']",PN
696377163277271040,"['elections', 'Trump', 'New Hampshire']",PN
694556573524475908,"['elections', 'Santorum', 'New Hampshire']",DN
702181711485001728,"['elections', 'Cruz', 'Texas']",DY
172833939113771008,"['Oscars', 'Jean Dujardin ']",DY
708151052671934464,"['elections', 'Trump', 'Ohio']",UC
464164734104010753,"['NFL draft', 'Beckham', 'Giants']",PY
464078706642669569,"['NFL draft', 'Clowney', 'Bills']",UC
711265706210402304,"['elections', 'Cruz', 'Arizona']",PY
696740841801523200,"['elections', 'Trump', 'New Hampshire']",DY
709443612656869376,"['elections', 'Rubio', 'Florida']",UC
706148957626437632,"['elections', 'Trump', 'Florida']",PY
326731293821894656,"['NFL draft', 'Eifert', 'Steelers']",PN
593460435552235520,"['NFL draft', 'Mariota', 'Browns']",PY
464059718156046336,"['NFL draft', 'Fuller', 'Eagles']",UC
708130266187845632,"['elections', 'Trump', 'Florida']",UC
593501316153942017,"['NFL draft', 'Williams', 'Jets']",UC
716656563604291589,"['elections', 'Trump', 'Wisconsin']",UC
724337289275432960,"['NFL draft', 'Kelly', 'Colts']",UC
568965668843859969,"['Oscars', 'Eddie Redmayne ']",DY
194401026315517954,"['NFL draft', 'Kalil', 'Chiefs']",PY
723566110193274881,"['NFL draft', 'Buckner', '49ers']",PY
726925623940108288,"['elections', 'Trump', 'Indiana']",PY
193875224469585920,"['NFL draft', 'Griffin', 'Redskins']",PY
725046271589928960,"['NFL draft', 'Buckner', '49ers']",UC
696180670083641344,"['elections', 'Trump', 'NH']",DY
464052066122362880,"['NFL draft', 'Watkins', 'Browns']",UC
725264375817232384,"['NFL draft', 'Wentz', 'Eagles']",DY
713934465962287104,"['elections', 'Cruz', 'Wisconsin']",DY
715307117486342145,"['elections', 'Cruz', 'Wisconsin']",DN
724904839377989634,"['NFL draft', 'Elliott', 'Cowboys']",DN
692707501389791233,"['elections', 'Sanders', 'Iowa']",UC
1234948556,"['Oscars', 'Mickey Rourke ']",UC
702705749970051072,"['elections', 'Cruz', 'Texas']",UC
12312321885,"['NFL draft', 'Bradford', 'Rams']",PN
12459588390,"['NFL draft', 'Okung', 'Lions']",UC
716701079703064576,"['elections', 'Trump', 'Wisconsin']",UC
439888617235025920,"['Oscars', 'Gravity ']",PY
194122467831320577,"['NFL draft', 'Poe', 'Chiefs']",PY
704038206464008193,"['elections', 'Cruz', 'Georgia']",UC
737410917235728384,"['elections', 'Clinton', 'California']",UC
