TweetID, Annotation
719718602870378496,PN
696377163277271040,DY
720945579723997184,DY
702188414267822080,DY
706444919024570368,DY
12315849963,UC
304999802918273024,UC
41156190629142528,PY
696115346202296320,PN
12312321885,UC
324824816886636544,UC
703572908245782528,UC
324770001385033729,UC
439344157761339392,UC
724557190997008386,PY
593181936782151680,DY
592740540799651841,DY
702615094161584128,PY
326835802476802049,DY
703573476125179904,PY
568282316126052352,UC
709396002474758144,DY
462982471764541440,PY
698697777673564160,UC
304569598345351169,UC
707666418762850304,DY
326712862422736897,DY
715230078620278784,DY
173172579723509760,UC
305380566897942528,DY
696682008802566144,DN
706148957626437632,DY
592686051686293504,DY
304139718415757312,PY
724981793561169920,DN
60930362875977728,UC
569181211911974913,DY
9841348087,DN
12420794473,PY
1232936844,UC
708496133526589440,PY
304297503879229442,PY
592480798080569344,UC
706363282966183936,PY
439766907378335744,UC
703195672166531072,DY
723617459215970304,UC
723867168035713026,PY
703103450087698433,UC
702240482588385280,UC
700326476810317824,DY
41128614426705920,UC
709346690004852737,DN
707709792542965760,DY
703267789830754305,PN
724693259025526785,UC
721828460344274948,DY
723910170800091137,PY
1231797836,UC
719305764007997440,DY
715242951249506311,UC
62282911403089920,DY
326798446440878080,UC
700692239144497152,UC
304644615070445569,DY
12314252808,PY
725371478032576513,UC
694614168465375232,DY
567769817629724672,PY
700406413563191296,DY
703693065467334656,UC
723333601085943809,UC
195281817547456512,UC
706709480101257216,PY
702942966873108480,PY
193875224469585920,UC
707685140005306368,DY
725431690718527490,UC
194246481149046784,DY
724612556770422784,UC
439459995688914944,PN
194905584888315904,UC
703215753764462592,UC
439111209519153152,UC
591987708937011201,PN
459505522212093952,PY
41157086448590849,UC
704269910051049472,PN
695604645608189952,UC
705395787035910144,PY
722097655090921472,DY
711789756300955649,DY
326792017931812864,PN
696101937675001856,DY
720812954254516224,PY
10037275027,UC
692259817000407040,PY
693816927563558916,UC
724337289275432960,UC
703579311278653440,UC
720483943099867136,DY
703573324949901312,PY
567204456383926272,DY
697622329988263936,UC
724467123356110848,UC
724600174723629062,UC
173461248200019968,PY
304976134838317056,UC
694676900929785858,UC
703122718485426176,UC
438789539394355200,DY
707923573357154304,PN
173457403076034564,DY
326764930785218561,PY
326335785513136132,UC
703578003503054848,PY
439522164878749697,DY
304566228633145344,PY
703253905891655680,UC
724678382554877957,PY
193872788522680320,DY
41426594115354624,UC
324683082508673024,DY
305018015416741888,UC
304566223306383360,UC
704204905913982976,DY
724622296686669824,DY
722637526830358529,UC
724979525419974656,PY
715318056927387649,UC
327098821299564544,UC
721733624714936320,UC
698749090973229056,PY
696813730584227841,DY
704279920596361216,DY
569226773067464704,DY
723862221827117056,DY
464087772957904897,UC
326740151789301760,UC
194196439272923136,DY
462759680549609472,UC
325002372306829313,UC
717130894893584384,UC
568843342571823104,PY
708876853386186754,DN
704824428597796864,PN
305048518790356992,PN
711737446472523776,PY
711532596652548096,PN
9841024512,PY
715734947785490432,UC
725380421580640256,PY
725058768577261568,PY
39735776468144128,UC
172986536172847104,PY
194217032269565953,PY
693862751249244160,UC
725418776062103552,DY
725005747600289792,DN
591638513692577793,PY
439227034863034368,UC
725103108703973376,DY
438789535485263872,UC
716030983867383811,UC
725027363038351361,UC
724555845753655296,UC
459840618848874497,PY
462981520677167104,UC
693251172061298688,UC
593212222865842177,PY
461802606470258688,PY
